date,ticker,underlying_price,pct_otm,weight
2025-07-18,QQQ US 07/25/25 C562,561.26,0.0013184620318569262,1
2025-07-25,QQQ US 08/01/25 C567,566.37,0.0011123470522802492,1
2025-08-01,QQQ US 08/08/25 C554,553.88,0.00021665342673493626,1
2025-08-08,QQQ US 08/15/25 C575,574.55,0.0007832216517276169,1
2025-08-15,QQQ US 08/22/25 C578,577.34,0.0011431738663525426,1
2025-08-22,QQQ US 08/29/25 C572,571.97,5.2450303337447934e-05,1
2025-08-29,QQQ US 09/05/25 C571,570.4,0.0010518934081347187,1
2025-09-05,QQQ US 09/12/25 C577,576.06,0.0016317744679374968,1
2025-09-12,QQQ US 09/19/25 C587,586.66,0.0005795520403641952,1
2025-09-19,QQQ US 09/26/25 C600,599.35,0.0010845082172352694,1
