date,ticker,underlying_price,pct_otm,weight
2021-03-19,BTCC CN 04/16/21 P9.5,11.05,0.16315789473684217,1
2021-04-16,BTCC CN 05/21/21 P10,11.56,0.15600000000000014,1
2021-05-21,BTCC CN 06/18/21 P5.5,6.5,0.18181818181818188,1
2021-06-18,BTCC CN 07/16/21 P5.5,6.57,0.19454545454545458,1
2021-07-16,BTCC CN 08/20/21 P5,6.0,0.19999999999999996,1
2021-08-20,BTCC CN 09/17/21 P8,9.3,0.1625000000000001,1
2021-09-17,BTCC CN 10/15/21 P7.75,9.01,0.16258064516129034,1
2021-10-15,BTCC CN 11/19/21 P9.75,11.3,0.15897435897435908,1
2021-11-19,BTCC CN 12/17/21 P9.25,10.83,0.17081081081081084,1
2021-12-17,BTCC CN 01/21/22 P7.5,8.81,0.17466666666666675,1
2022-01-21,BTCC CN 02/18/22 P6.5,7.14,0.09846153846153838,1
2022-02-18,BTCC CN 03/18/22 P6.5,7.54,0.15999999999999992,1
2022-03-18,BTCC CN 04/14/22 P6.75,7.81,0.15703703703703709,1
2022-04-14,BTCC CN 05/20/22 P6.25,7.4,0.18400000000000016,1
2022-05-20,BTCC CN 06/17/22 P4.75,5.53,0.16421052631578958,1
2022-06-17,BTCC CN 07/15/22 P3.25,3.93,0.20923076923076933,1
2022-07-15,BTCC CN 08/19/22 P3.5,4.03,0.15142857142857147,1
2022-08-19,BTCC CN 09/16/22 P3.5,4.06,0.15999999999999992,1
2022-09-16,BTCC CN 10/21/22 P3.25,3.82,0.17538461538461525,1
2022-10-21,BTCC CN 11/18/22 P3.25,3.83,0.17846153846153845,1
2022-11-18,BTCC CN 12/16/22 P2.75,3.25,0.18181818181818188,1
2022-12-16,BTCC CN 01/20/23 P2.75,3.35,0.21818181818181825,1
2023-01-20,BTCC CN 02/17/23 P3.75,4.36,0.16266666666666674,1
2023-02-17,BTCC CN 03/17/23 P4,4.82,0.20500000000000007,1
2023-03-17,BTCC CN 04/21/23 P4.5,5.37,0.19333333333333336,1
2023-04-21,BTCC CN 05/19/23 P4.5,5.35,0.18888888888888888,1
2023-05-19,BTCC CN 06/16/23 P4.5,5.26,0.16888888888888887,1
2023-06-16,BTCC CN 07/21/23 P4.25,5.04,0.1858823529411764,1
2023-07-21,BTCC CN 08/18/23 P4.75,5.7,0.19999999999999996,1
2023-08-18,BTCC CN 09/15/23 P4.25,5.1,0.19999999999999996,1
2023-09-15,BTCC CN 10/20/23 P4.25,5.16,0.21411764705882352,1
2023-10-20,BTCC CN 11/17/23 P5,5.85,0.16999999999999993,1
2023-11-17,BTCC CN 12/15/23 P6.25,7.24,0.1584000000000001,1
2023-12-15,BTCC CN 01/19/24 P7,8.13,0.16142857142857148,1
2024-01-19,BTCC CN 02/16/24 P6.75,8.01,0.18666666666666654,1
2024-02-16,BTCC CN 03/15/24 P8.5,10.03,0.17999999999999994,1
2024-03-15,BTCC CN 04/19/24 P11.5,13.41,0.1660869565217391,1
2024-04-19,BTCC CN 05/17/24 P11,12.67,0.15181818181818185,1
2024-05-17,BTCC CN 06/21/24 P11,13.05,0.1863636363636365,1
2024-06-21,BTCC CN 07/19/24 P10.5,12.57,0.19714285714285706,1
2024-07-19,BTCC CN 08/16/24 P11,13.17,0.19727272727272727,1
2024-08-16,BTCC CN 09/20/24 P10,11.62,0.16199999999999992,1
2024-09-20,BTCC CN 10/18/24 P10.5,12.14,0.1561904761904762,1
2024-10-18,BTCC CN 11/15/24 P11.5,13.5,0.17391304347826098,1
2024-11-15,BTCC CN 12/20/24 P15.75,18.27,0.15999999999999992,1
2024-12-20,BTCC CN 01/17/25 P17,19.64,0.1552941176470588,1
